	ratio	nifH type	env type	Organism
SRR1783647	1.4868603042876904	PB	others	bioreactor metagenome
SRR1783648	0.0	PB	others	bioreactor metagenome
SRR1783649	0.0	PB	others	bioreactor metagenome
SRR1783650	0.41551246537396125	PB	others	bioreactor metagenome
SRR1783651	0.0	PB	others	bioreactor metagenome
SRR1783652	1.4344262295081966	PB	others	bioreactor metagenome
SRR1783653	0.0	PB	others	bioreactor metagenome
SRR1783654	0.0	PB	others	bioreactor metagenome
SRR1783655	0.0	PB	others	bioreactor metagenome
SRR1783656	0.0	PB	others	bioreactor metagenome
SRR1783657	0.0	PB	others	bioreactor metagenome
SRR9199087	100.0	PB	soil	compost metagenome
SRR9199088	100.0	PB	soil	compost metagenome
SRR9199097	100.0	PB	soil	compost metagenome
SRR9199109	100.0	PB	soil	compost metagenome
SRR9199114	100.0	PB	soil	compost metagenome
SRR6022796	0.0	PB	plant	root metagenome
SRR6022797	0.0	PB	plant	root metagenome
SRR6022798	0.0	PB	plant	root metagenome
SRR6022799	0.0	PB	plant	root metagenome
SRR6022800	0.0	PB	plant	root metagenome
SRR6022801	0.0	PB	plant	root metagenome
SRR6022802	0.0	PB	plant	root metagenome
SRR6022803	0.0	PB	plant	root metagenome
SRR6022804	0.0	PB	plant	root metagenome
SRR12287919	0.0	PB	soil	mine metagenome
SRR12287921	0.0	PB	soil	mine metagenome
SRR12287923	0.0	PB	soil	mine metagenome
SRR12287924	0.0	PB	soil	mine metagenome
SRR12287925	0.0	PB	soil	mine metagenome
SRR12287928	0.0	PB	soil	mine metagenome
SRR12287934	0.0	PB	soil	mine metagenome
SRR12287937	0.0	PB	soil	mine metagenome
SRR12287939	0.0	PB	soil	mine metagenome
SRR12287942	0.0	PB	soil	mine metagenome
SRR12287951	0.0	PB	soil	mine metagenome
SRR8866148	0.0	PB	plant	plant metagenome
SRR8866506	0.0	PB	plant	plant metagenome
SRR9226054	0.0	PB	soil	soil metagenome
SRR9226057	0.0	PB	soil	soil metagenome
SRR9226058	0.0	PB	soil	soil metagenome
SRR9226063	0.0	PB	soil	soil metagenome
SRR6681099	0.0	PB	plant	root metagenome
SRR6681100	0.0	PB	plant	root metagenome
SRR6681101	0.0	PB	plant	root metagenome
SRR6681102	0.0	PB	plant	root metagenome
SRR6681103	0.0	PB	plant	root metagenome
SRR6681104	0.0	PB	plant	root metagenome
SRR6681107	0.0	PB	plant	root metagenome
SRR6681108	0.0	PB	plant	root metagenome
SRR6681109	0.0	PB	plant	root metagenome
SRR6681111	0.0	PB	plant	root metagenome
SRR6681112	0.0	PB	plant	root metagenome
SRR6681113	0.0	PB	plant	root metagenome
SRR6681114	0.0	PB	plant	root metagenome
SRR6681115	0.0	PB	plant	root metagenome
SRR6681116	0.0	PB	plant	root metagenome
SRR6681117	0.0	PB	plant	root metagenome
SRR6681118	0.0	PB	plant	root metagenome
SRR6681119	0.0	PB	plant	root metagenome
SRR6681120	0.0	PB	plant	root metagenome
SRR6681123	0.0	PB	plant	root metagenome
SRR6681125	0.0	PB	plant	root metagenome
SRR6681126	0.0	PB	plant	root metagenome
SRR6681127	0.0	PB	plant	root metagenome
SRR6681128	0.0	PB	plant	root metagenome
SRR6681129	0.0	PB	plant	root metagenome
SRR6681130	0.0	PB	plant	root metagenome
SRR6681131	0.0	PB	plant	root metagenome
SRR6681132	0.0	PB	plant	root metagenome
SRR6681133	0.0	PB	plant	root metagenome
SRR6681134	0.0	PB	plant	root metagenome
SRR6681135	0.0	PB	plant	root metagenome
SRR6681136	0.0	PB	plant	root metagenome
SRR6681139	0.0	PB	plant	root metagenome
SRR6681140	0.0	PB	plant	root metagenome
SRR6681142	0.0	PB	plant	root metagenome
SRR6681143	0.0	PB	plant	root metagenome
SRR6681144	0.0	PB	plant	root metagenome
SRR6681145	0.0	PB	plant	root metagenome
SRR6681146	0.0	PB	plant	root metagenome
SRR6681148	0.0	PB	plant	root metagenome
SRR6681149	0.0	PB	plant	root metagenome
SRR6681150	0.0	PB	plant	root metagenome
SRR6681151	0.0	PB	plant	root metagenome
SRR6681152	0.0	PB	plant	root metagenome
SRR10201526	0.0	PB	soil	soil metagenome
SRR10201527	4.601769911504424	PB	soil	soil metagenome
SRR10201528	0.0	PB	soil	soil metagenome
SRR10201529	0.0	PB	soil	soil metagenome
SRR10201530	0.0	PB	soil	soil metagenome
SRR10201531	0.0	PB	soil	soil metagenome
SRR10201533	0.0	PB	soil	soil metagenome
SRR10201534	0.0	PB	soil	soil metagenome
SRR10201535	0.0	PB	soil	soil metagenome
SRR10201536	0.0	PB	soil	soil metagenome
SRR10201537	0.0	PB	soil	soil metagenome
SRR10201538	0.0	PB	soil	soil metagenome
SRR10201540	0.0	PB	soil	soil metagenome
SRR10201541	0.0	PB	soil	soil metagenome
SRR10201542	0.0	PB	soil	soil metagenome
